Model,Correlation,Inference Time,Model Size
MiniLM-L6,0.8470136838318714,0.019022858232016108,22
MiniLM-L12,0.8432774106996839,0.0372248405497019,33
MPNet-Base,0.8671197324805402,0.12938382688201516,100
All-MPNet,0.8580658363697954,0.1298294495781477,110
